X,Y,OBJECTID,StopID,Route,Lat,Lon,DailyBoardings,DotSize
-89.291301000547989,43.062458053256265,15876,7987,39,43.062466,-89.291307,3.65,36535.21
-89.289382998792362,43.0842300495434,15877,7991,32,43.084238,-89.289389,2.92,29150.83
-89.289382998792362,43.0842300495434,15878,7991,35,43.084238,-89.289389,1.14,11353.63
-89.48916394466869,43.032034069624217,15879,8100,50,43.032042,-89.48917,23.75,237512.53
-89.48916394466869,43.032034069624217,15880,8100,51,43.032042,-89.48917,1.56,15644.01
-89.48916394466869,43.032034069624217,15881,8100,57,43.032042,-89.48917,0.11,1116.18
-89.48916394466869,43.032034069624217,15882,8100,58,43.032042,-89.48917,0.67,6701.58
-89.488361944729675,43.031694068992778,15883,8101,51,43.031702,-89.488368,2.91,29053.16
-89.488361944729675,43.031694068992778,15884,8101,56,43.031702,-89.488368,1.24,12395.3
-89.477866947440262,43.036999068154444,15885,8118,50,43.037007,-89.477873,1.56,15611.15
-89.502632938739808,43.050065066834897,15886,8119,50,43.050073,-89.502639,33.56,335639.78
-89.503023939855083,43.046493067915492,15887,8131,50,43.046501,-89.50303,25.2,252008.6
-89.461466953067216,43.032152068031763,15888,8135,56,43.03216,-89.461473,1.69,16902.68
-89.492165946142265,43.010887072918351,15889,8137,56,43.010895,-89.492172,3.27,32678.52
-89.492165946142265,43.010887072918351,15890,8137,57,43.010895,-89.492172,0.11,1116.18
-89.477636947021608,43.041815066767931,15891,8138,50,43.041823,-89.477643,0.22,2230.16
-89.491970945446411,43.026043070183157,15892,8149,51,43.026051,-89.491977,1.34,13409.15
-89.491970945446411,43.026043070183157,15893,8149,56,43.026051,-89.491977,2.82,28171.14
-89.50987294091189,43.017394073019453,15894,8151,57,43.017402,-89.509879,4.35,43531.01
-89.460878952911841,43.039153066750522,15895,8154,18,43.039161,-89.460885,2.12,21215.41
-89.460927952115597,43.038920067117367,15896,8155,56,43.038928,-89.460934,1.8,18029.53
-89.488680945408504,43.029590069919429,15897,8157,51,43.029598,-89.488687,0.67,6704.58
-89.488680945408504,43.029590069919429,15898,8157,56,43.029598,-89.488687,2.59,25917.45
